"Species","Parameter","MLE","Lower.Lim","Upper.Lim","Lower.Bound","Upper.Bound"
"BELE","ab",0.190230208284781,0,1000,0,1000
"BELE","gmax",10000,9700,10000,0,10000
"BELE","ca",80.4078372820653,79.6037589092447,85.8551783531425,0,2000
"BELE","cb",25.7327764902739,24.9607931955657,28.1959664670988,0,1000
"BELE","cc",3.26506957850847,3.16711749115321,3.2997681869383,0,5
"BELE","cd",0.00553258079184597,0.00547725498392751,0.00553258079184597,0,5
"BELE","ce",9.52904411134012e-320,2.79641155546146e-321,2.36252460951594e-313,0,1000
"BELE","cf",311.872500449918,308.753775445419,311.872500449918,-100,1000
"BELE","cg",-298.882539329061,-302.34733638846,-294.146090873964,-1000,1000
"BELE","ta11",307.76084456369,307.76084456369,307.76084456369,250,325
"BELE","ta12",280.446915237509,280.446915237509,280.446915237509,250,325
"BELE","ta13",250.000000123232,250,250.000000123232,250,325
"BELE","ta14",283.534724430508,283.534724430508,283.534724430508,250,325
"BELE","ta15",301.342600364988,301.342600364988,301.342600364988,250,325
"BELE","ta16",250.906940595327,250,325,250,325
"BELE","tb11",16.2222643515936,15.7355964210458,16.5467096386255,0,500
"BELE","tb12",4.07986624149691,3.957470254252,4.17905026824861,0,500
"BELE","tb13",39.7268276444391,36.9459497093284,42.3624568867502,0,500
"BELE","tb14",2.31387555182844,2.08248799664559,2.48282904327292,0,500
"BELE","tb15",5.52808801207154,5.47280713195083,5.52808801207154,0,500
"BELE","tb16",339.915449405989,129.167870774276,500,0,500
"BELE","pa11",127.510779498065,126.235671703084,130.060995088026,0,500
"BELE","pa12",475.461856359127,432.670289286805,500,0,500
"BELE","pa13",106.134180077238,102.950154674921,107.195521878011,0,500
"BELE","pa14",0.00318273346718347,0,237.674469835118,0,500
"BELE","pa15",362.278683449279,307.936880931888,423.866059635657,0,500
"BELE","pa16",76.5604031884102,75.029195124642,80.7135239947871,0,500
"BELE","pb11",49.3446116121023,47.3708271476182,51.3183960765864,0,2000
"BELE","pb12",862.726208478635,767.826325545985,962.33537388513,0,2000
"BELE","pb13",50.8784810664453,49.3521266344519,54.4399747410964,0,2000
"BELE","pb14",616.230831709266,320.440032488819,2000,0,2000
"BELE","pb15",776.199454475273,636.483552669724,987.531530848735,0,2000
"BELE","pb16",57.2631942581379,54.400034545231,61.1486678696216,0,2000
"BELE","pc1",0.00815321291956244,0,0.0746069476539518,0,1
"BELE","sd",78.3437018386822,75.2139537651349,82.0303270313275,0.1,1000
"NYSY","aa",1,1,1,0,1
"NYSY","ab",0.00331158170574418,0.00314600262045697,0.00344404497397474,0,1000
"NYSY","gmax",8910.17207135322,8642.86690921263,9177.47723349382,0,10000
"NYSY","ca",1998.74693871027,1519.0476734198,2000,0,2000
"NYSY","cb",999.999999999979,749.999999999985,1000,0,1000
"NYSY","cc",1.95223918735798,1.91319440361082,2.0327167954844,0,5
"NYSY","cd",0.0119140632779403,0.0114375007468227,0.0123906258090579,0,5
"NYSY","ce",1.0926292398719e-245,1.09262923987183e-247,2.6239338796574e-234,0,1000
"NYSY","cf",868.215038699184,54.914406191869,1000,-100,1000
"NYSY","cg",-990.548972224212,-1000,-143.783945401718,-1000,1000
"NYSY","ta11",300.179515013307,300.179515013307,300.179515013307,250,325
"NYSY","ta12",283.29732763408,283.29732763408,283.29732763408,250,325
"NYSY","ta13",291.330580598941,291.330580598941,291.330580598941,250,325
"NYSY","ta14",253.838523870043,250,325,250,325
"NYSY","ta15",296.867697888484,296.867697888484,296.867697888484,250,325
"NYSY","ta16",286.44610400716,286.44610400716,286.44610400716,250,325
"NYSY","tb11",10.6008529479256,10.1768188300086,11.3429126542804,0,500
"NYSY","tb12",3.78947215082913,3.10736716367989,5.5144826670246,0,500
"NYSY","tb13",16.1824169219245,15.858768583486,16.6678894295822,0,500
"NYSY","tb14",127.745697870845,89.4219885095913,500,0,500
"NYSY","tb15",6.93080371962472,6.58426353364348,7.49318095310134,0,500
"NYSY","tb16",9.8793252315777,7.80466693294638,16.2547395903777,0,500
"NYSY","pa11",320.608786695151,304.578347360394,331.372259493442,0,500
"NYSY","pa12",23.9403868320599,4.30926962977079,59.1687982064875,0,500
"NYSY","pa13",95.2892998647294,86.7132628769037,101.95955085526,0,500
"NYSY","pa14",496.729566783975,307.972331406065,500,0,500
"NYSY","pa15",117.70381543221,112.995662814922,121.234929895177,0,500
"NYSY","pa16",0.220986910075236,0,281.321114770574,0,500
"NYSY","pb11",300.009288233108,285.008823821453,323.809158197845,0,2000
"NYSY","pb12",220.490150331769,183.006824775368,340.14270191319,0,2000
"NYSY","pb13",80.2532548678915,69.0177991863867,99.4507223192126,0,2000
"NYSY","pb14",1187.54733523689,950.037868189512,2000,0,2000
"NYSY","pb15",60.1014302829399,54.6923015574753,66.986298936521,0,2000
"NYSY","pb16",780.019668410365,343.208654100561,2000,0,2000
"NYSY","pc1",8.86290934715577e-05,0,1,0,1
"NYSY","sd",79.4127348531199,73.0677160648703,86.7774329742949,0.1,1000
"QUPR","aa",0.849756375173146,0.832761247669683,0.858253938924877,0,1
"QUPR","ab",0.000274053145316988,0.000254869425144799,0.000299534202743753,0,1000
"QUPR","gmax",9999.99989428939,9699.99989746071,10000,0,10000
"QUPR","ca",4.54311393451315,3.40733545088486,7.11938675517226,0,2000
"QUPR","cb",968.534277314311,736.086050758876,1000,0,1000
"QUPR","cc",3.52053125954176,3.41491532175551,3.66135250992343,0,5
"QUPR","cd",3.52184298505116,0,5,0,5
"QUPR","ce",514.075282051817,0,1000,0,1000
"QUPR","cf",664.458285683548,-100,1000,-100,1000
"QUPR","cg",479.488909980221,-1000,1000,-1000,1000
"QUPR","ta11",320.150570471139,250,325,250,325
"QUPR","ta12",297.670345934417,297.670345934417,297.670345934417,250,325
"QUPR","ta13",275.035992016912,272.285632096742,275.035992016912,250,325
"QUPR","ta14",295.591997470697,250,325,250,325
"QUPR","ta15",301.778617156213,250,325,250,325
"QUPR","ta16",324.797725509549,250,325,250,325
"QUPR","tb11",456.340861512031,177.972935989693,500,0,500
"QUPR","tb12",17.1139910524605,16.6005713208867,18.764322712454,0,500
"QUPR","tb13",11.5848668250714,9.73128813305995,28.1909813530189,0,500
"QUPR","tb14",335.75057108055,137.657734143026,500,0,500
"QUPR","tb15",385.526727026233,177.342294432067,500,0,500
"QUPR","tb16",375.962457667129,146.62535849018,500,0,500
"QUPR","pa11",303.803946399091,279.499630687164,314.689828007119,0,500
"QUPR","pa12",116.167159487583,104.550443538825,127.328831082459,0,500
"QUPR","pa13",0.00362486370728918,0,383.129847282893,0,500
"QUPR","pa14",3.32675145337829,0,72.0995965667645,0,500
"QUPR","pa15",1.08066005963451e-08,0,40.8866348659229,0,500
"QUPR","pa16",0.0277848909107849,0,363.619134804791,0,500
"QUPR","pb11",294.717501464544,282.928801405962,338.59145644404,0,2000
"QUPR","pb12",116.670288322315,102.669853723637,161.870201402579,0,2000
"QUPR","pb13",1343.26828303861,416.413167741969,2000,0,2000
"QUPR","pb14",304.587627864181,268.037112520479,725.049896153864,0,2000
"QUPR","pb15",249.100159573775,224.190143616398,361.157749361054,0,2000
"QUPR","pb16",1310.14225180277,458.549788130971,2000,0,2000
"QUPR","pc1",0.569727372053807,0,1,0,1
"QUPR","sd",246.749595705387,227.017628048956,266.749595705387,0.1,1000
"QURU","aa",1,0.92,1,0,1
"QURU","ab",0.0133188364320111,0.00812449022352678,0.0187187645102931,0,1000
"QURU","gmax",9999.99998345305,9499.9999842804,10000,0,10000
"QURU","ca",108.854310124928,100.145965314933,120.201184264178,0,2000
"QURU","cb",157.565435316091,137.081928724999,177.783864868505,0,1000
"QURU","cc",5,4.9,5,0,5
"QURU","cd",4.08219331406748,4.00054944778613,4.16383718034883,0,5
"QURU","ce",113.736990750919,103.500661583336,126.144672880406,0,1000
"QURU","cf",501.185259491817,429.043028352799,571.019323162962,-100,1000
"QURU","cg",-0.330826977863247,-0.349152641159461,-0.309413017825291,-1000,1000
"QURU","ta11",250.558654449171,250,325,250,325
"QURU","ta12",297.58630555897,250,325,250,325
"QURU","ta13",306.514116669256,250,321.839822502719,250,325
"QURU","ta14",323.738964614627,250,325,250,325
"QURU","ta15",294.726512350121,294.726512350121,294.726512350121,250,325
"QURU","ta16",291.381577757349,291.381577757349,291.381577757349,250,325
"QURU","tb11",157.223118468264,95.9061022656408,500,0,500
"QURU","tb12",250.270590715725,90.0974126576613,500,0,500
"QURU","tb13",126.093623014747,59.2640028169309,500,0,500
"QURU","tb14",499.990982160438,89.9983767888789,500,0,500
"QURU","tb15",5.50423563771831,4.62355793568338,6.25157206420268,0,500
"QURU","tb16",7.38330010017182,7.01413509516323,7.58034678013175,0,500
"QURU","pa11",113.222762074586,100.768258246381,123.222762074586,0,500
"QURU","pa12",477.14353710625,0,500,0,500
"QURU","pa13",5.22971799869556e-15,0,41.0774839489777,0,500
"QURU","pa14",59.3167069867045,0,190.640328304666,0,500
"QURU","pa15",142.475103396818,129.652344091104,146.749356498722,0,500
"QURU","pa16",206.203345240621,185.583010716559,214.141311788214,0,500
"QURU","pb11",82.7758871515025,71.1872629502922,141.948128279988,0,2000
"QURU","pb12",1999.83094042441,419.964497489129,2000,0,2000
"QURU","pb13",367.863964009077,235.432936965809,2000,0,2000
"QURU","pb14",279.168173443552,240.084629161455,2000,0,2000
"QURU","pb15",87.8749186937242,82.6024235721007,109.632417067599,0,2000
"QURU","pb16",191.639793931307,180.141406295428,222.489955167719,0,2000
"QURU","pc1",0.039887652853109,0,1,0,1
"QURU","sd",494.760195574935,465.080583840439,540.126981884689,0.1,1000
